scenario_label,scenario,time_index,tau,relative_day,q_value,prob_hosp,delay_hosp,prob_unsafe_funeral_comm,prob_unsafe_funeral_hosp,prob_unsafe_funeral_etu,prop_etu,ipc_helper
Middle_DRC_NoConflict,Middle_DRC_NoConflict,29,0.282828,54.586,,0.510294,3.591117,0.675723,0.007490,0.000000,0.573491,0.419451
Middle_DRC_NoConflict,Middle_DRC_NoConflict,30,0.292929,56.535,,0.519196,3.505073,0.660685,0.007352,0.000000,0.586387,0.433030
Middle_DRC_NoConflict,Middle_DRC_NoConflict,31,0.303030,58.485,,0.528069,3.420990,0.645591,0.007209,0.000000,0.598913,0.446563
Middle_DRC_NoConflict,Middle_DRC_NoConflict,32,0.313131,60.434,,0.536887,3.338988,0.630483,0.007059,0.000000,0.611076,0.460023
Middle_DRC_NoConflict,Middle_DRC_NoConflict,33,0.323232,62.384,,0.545637,3.259162,0.615406,0.006905,0.000000,0.622880,0.473382
Middle_DRC_NoConflict,Middle_DRC_NoConflict,34,0.333333,64.333,,0.554312,3.181578,0.600406,0.006745,0.000000,0.634330,0.486614
Middle_DRC_NoConflict,Middle_DRC_NoConflict,35,0.343434,66.283,,0.562905,3.106281,0.585529,0.006580,0.000000,0.645433,0.499696
Middle_DRC_NoConflict,Middle_DRC_NoConflict,36,0.353535,68.232,,0.571407,3.033293,0.570820,0.006412,0.000000,0.656192,0.512611
Middle_DRC_NoConflict,Middle_DRC_NoConflict,37,0.363636,70.182,,0.579802,2.962625,0.556324,0.006239,0.000000,0.666610,0.525345
Middle_DRC_NoConflict,Middle_DRC_NoConflict,38,0.373737,72.131,,0.588061,2.894311,0.542082,0.006063,0.000000,0.676691,0.537888
Middle_DRC_NoConflict,Middle_DRC_NoConflict,39,0.383838,74.081,,0.596162,2.828405,0.528129,0.005885,0.000000,0.686437,0.550216
Middle_DRC_NoConflict,Middle_DRC_NoConflict,40,0.393939,76.030,,0.604099,2.764944,0.514501,0.005704,0.000000,0.695849,0.562296
Middle_DRC_NoConflict,Middle_DRC_NoConflict,41,0.404040,77.980,,0.611866,2.703917,0.501225,0.005522,0.000000,0.704930,0.574112
Middle_DRC_NoConflict,Middle_DRC_NoConflict,42,0.414141,79.929,,0.619459,2.645292,0.488326,0.005339,0.000000,0.713682,0.585654
Middle_DRC_NoConflict,Middle_DRC_NoConflict,43,0.424242,81.879,,0.626871,2.589024,0.475823,0.005155,0.000000,0.722107,0.596915
Middle_DRC_NoConflict,Middle_DRC_NoConflict,44,0.434343,83.828,,0.634095,2.535068,0.463731,0.004972,0.000000,0.730212,0.607892
Middle_DRC_NoConflict,Middle_DRC_NoConflict,45,0.444444,85.778,,0.641128,2.483372,0.452062,0.004791,0.000000,0.737999,0.618578
Middle_DRC_NoConflict,Middle_DRC_NoConflict,46,0.454545,87.727,,0.647967,2.433881,0.440822,0.004611,0.000000,0.745476,0.628970
Middle_DRC_NoConflict,Middle_DRC_NoConflict,47,0.464646,89.677,,0.654611,2.386534,0.430017,0.004433,0.000000,0.752649,0.639064
Middle_DRC_NoConflict,Middle_DRC_NoConflict,48,0.474747,91.626,,0.661063,2.341269,0.419645,0.004258,0.000000,0.759524,0.648859
Middle_DRC_NoConflict,Middle_DRC_NoConflict,49,0.484848,93.576,,0.667326,2.298021,0.409706,0.004086,0.000000,0.766110,0.658354
Middle_DRC_NoConflict,Middle_DRC_NoConflict,50,0.494949,95.525,,0.673403,2.256724,0.400192,0.003919,0.000000,0.772413,0.667550
Middle_DRC_NoConflict,Middle_DRC_NoConflict,51,0.505051,97.475,,0.679298,2.217306,0.391095,0.003755,0.000000,0.778442,0.676449
